,Drug_ID,Drug,valid_smiles,mol,sentence,mol2vec
19,CHEMBL208118,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(C)C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca50f0>,MolSentence with 58 words,"(300,) dimensional vector"
20,CHEMBL207718,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C)C1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5150>,MolSentence with 64 words,"(300,) dimensional vector"
21,CHEMBL207815,COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca51b0>,MolSentence with 70 words,"(300,) dimensional vector"
22,CHEMBL208048,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C(C)C)C(C)C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5210>,MolSentence with 62 words,"(300,) dimensional vector"
23,CHEMBL208286,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(CO)C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5270>,MolSentence with 60 words,"(300,) dimensional vector"
24,CHEMBL208637,CCOc1nc(NC(C)=O)cc(N)c1C#N,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca52d0>,MolSentence with 32 words,"(300,) dimensional vector"
25,CHEMBL210032,CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5330>,MolSentence with 38 words,"(300,) dimensional vector"
26,CHEMBL210618,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5390>,MolSentence with 52 words,"(300,) dimensional vector"
27,CHEMBL210928,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca53f0>,MolSentence with 58 words,"(300,) dimensional vector"
28,CHEMBL210963,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5450>,MolSentence with 60 words,"(300,) dimensional vector"
29,CHEMBL211003,CNC(=O)C(C)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca54b0>,MolSentence with 60 words,"(300,) dimensional vector"
30,CHEMBL212382,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3F)cn12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5510>,MolSentence with 52 words,"(300,) dimensional vector"
31,CHEMBL212968,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5570>,MolSentence with 54 words,"(300,) dimensional vector"
32,CHEMBL213423,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca55d0>,MolSentence with 52 words,"(300,) dimensional vector"
33,CHEMBL213451,CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5630>,MolSentence with 48 words,"(300,) dimensional vector"
34,CHEMBL214198,CC(C)c1nnc2ccc(-c3cn[nH]c3-c3cc(F)ccc3F)cn12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5690>,MolSentence with 50 words,"(300,) dimensional vector"
35,CHEMBL215652,CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3Cl)cn12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca56f0>,MolSentence with 50 words,"(300,) dimensional vector"
36,CHEMBL215803,CC1CC2CN1CCn1[nH]c3c(cccc3c1=O)-c1nc3c(cccc3[nH]c1=O)O2,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5750>,MolSentence with 60 words,"(300,) dimensional vector"
37,CHEMBL2205426,CC(C)(C)Nc1c(Nc2ccnc(Nc3ccc(-c4ccncc4)cc3)n2)c(=O)c1=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca57b0>,MolSentence with 62 words,"(300,) dimensional vector"
38,CHEMBL223367,N#Cc1ncc2nc1OCCCCCOc1cc(CCCO)c(Cl)cc1NC(=O)N2,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5810>,MolSentence with 60 words,"(300,) dimensional vector"
39,CHEMBL223460,CS(=O)(=O)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5870>,MolSentence with 62 words,"(300,) dimensional vector"
40,CHEMBL2312290,COc1ccc(CCNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)cc1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca58d0>,MolSentence with 74 words,"(300,) dimensional vector"
41,CHEMBL2312301,COc1ccccc1CNc1ncc(C(=O)NCCCN2CCCC2=O)c(NC2CCCC2)n1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5930>,MolSentence with 68 words,"(300,) dimensional vector"
42,CHEMBL2312303,O=C(NCCCN1CCCC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5990>,MolSentence with 68 words,"(300,) dimensional vector"
43,CHEMBL2312304,O=C(NCCCN1CCOC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca59f0>,MolSentence with 68 words,"(300,) dimensional vector"
44,CHEMBL2333365,Cc1c(C(=O)N2CCOc3ccc(-c4ccc(N)nc4)cc3C2)ccc(S(C)(=O)=O)c1F,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5a50>,MolSentence with 64 words,"(300,) dimensional vector"
45,CHEMBL235157,COc1cc2ncc3c(N)nc4c(C)c(N)ccc4c3c2cc1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5ab0>,MolSentence with 50 words,"(300,) dimensional vector"
46,CHEMBL242753,O=C1C=CC(=c2ccc(=C3NNC4=C3Cc3cc(C(=O)NCc5ccncc5)ccc34)cc2)C=C1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5b10>,MolSentence with 70 words,"(300,) dimensional vector"
47,CHEMBL248757,N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5b70>,MolSentence with 64 words,"(300,) dimensional vector"
48,CHEMBL281957,CCN(CC)CC=Cc1[nH]c(=O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5bd0>,MolSentence with 66 words,"(300,) dimensional vector"
49,CHEMBL373598,N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5c30>,MolSentence with 62 words,"(300,) dimensional vector"
50,CHEMBL376967,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)C(C)C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5c90>,MolSentence with 66 words,"(300,) dimensional vector"
51,CHEMBL377383,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5cf0>,MolSentence with 50 words,"(300,) dimensional vector"
52,CHEMBL377772,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1CC(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5d50>,MolSentence with 62 words,"(300,) dimensional vector"
53,CHEMBL378370,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1CCNC1=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5db0>,MolSentence with 60 words,"(300,) dimensional vector"
54,CHEMBL378627,COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5e10>,MolSentence with 62 words,"(300,) dimensional vector"
55,CHEMBL379601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5e70>,MolSentence with 56 words,"(300,) dimensional vector"
56,CHEMBL379905,COCC(C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5ed0>,MolSentence with 62 words,"(300,) dimensional vector"
57,CHEMBL379929,CC(C)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5f30>,MolSentence with 46 words,"(300,) dimensional vector"
58,CHEMBL380006,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(C)C(=O)N(C)C,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5f90>,MolSentence with 62 words,"(300,) dimensional vector"
59,CHEMBL380386,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CNC(C)C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8030>,MolSentence with 56 words,"(300,) dimensional vector"
60,CHEMBL380454,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC(C(N)=O)C1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8090>,MolSentence with 60 words,"(300,) dimensional vector"
61,CHEMBL380889,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(CN(C)C)C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca80f0>,MolSentence with 64 words,"(300,) dimensional vector"
62,CHEMBL382822,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1C(=O)N(C)C,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8150>,MolSentence with 64 words,"(300,) dimensional vector"
63,CHEMBL382823,COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)C(C)C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca81b0>,MolSentence with 64 words,"(300,) dimensional vector"
64,CHEMBL383246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C(C)C)CC1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8210>,MolSentence with 72 words,"(300,) dimensional vector"
65,CHEMBL383760,CNC(=O)C1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8270>,MolSentence with 62 words,"(300,) dimensional vector"
66,CHEMBL389745,COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca82d0>,MolSentence with 86 words,"(300,) dimensional vector"
67,CHEMBL395080,COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8330>,MolSentence with 82 words,"(300,) dimensional vector"
68,CHEMBL398606,CC(C)NCc1ccc(NC2=CC(=c3ccc(=C4C=CC(=O)C=C4O)cc3)NN2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8390>,MolSentence with 62 words,"(300,) dimensional vector"
69,CHEMBL425601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca83f0>,MolSentence with 68 words,"(300,) dimensional vector"
70,CHEMBL437885,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8450>,MolSentence with 54 words,"(300,) dimensional vector"
71,CHEMBL438485,O=C1C=CC(=c2ccc(=C3NNC4=C3Cc3cc(C(=O)NC5CCC(O)CC5)ccc34)cc2)C=C1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca84b0>,MolSentence with 70 words,"(300,) dimensional vector"
72,CHEMBL478649,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8510>,MolSentence with 52 words,"(300,) dimensional vector"
73,CHEMBL485285,Cc1ccc(C(=O)Nc2cccc(N3CCOCC3)c2)cc1-c1ccc2c(C3CCNCC3)noc2c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8570>,MolSentence with 74 words,"(300,) dimensional vector"
74,CHEMBL485286,Cc1ccc(NC(=O)c2ccnc(N3CCCC3)c2)cc1-c1ccc2c(C3CCNCC3)noc2c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca85d0>,MolSentence with 72 words,"(300,) dimensional vector"
75,CHEMBL495729,Cc1nnc(-c2ccc(-c3cc(NC(=O)c4ccnc(N5CCCC5)c4)ccc3C)c(C)c2)o1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8630>,MolSentence with 68 words,"(300,) dimensional vector"
76,CHEMBL497563,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(C3CCNCC3)noc2c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8690>,MolSentence with 56 words,"(300,) dimensional vector"
77,CHEMBL522579,Cc1nnc(-c2ccc(-c3cc(C(=O)NC4CC4)ccc3C)c(C)c2)o1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca86f0>,MolSentence with 52 words,"(300,) dimensional vector"
78,CHEMBL523559,Cc1nnc(-c2ccc(-c3cc(C(=O)Nc4cccc(N5CCOCC5)c4)ccc3C)c(C)c2)o1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8750>,MolSentence with 70 words,"(300,) dimensional vector"
79,CHEMBL583042,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca87b0>,MolSentence with 68 words,"(300,) dimensional vector"
80,CHEMBL590109,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8810>,MolSentence with 62 words,"(300,) dimensional vector"
81,CHEMBL606964,COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N(C3CCC(O)C3)C2=O)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8870>,MolSentence with 66 words,"(300,) dimensional vector"
82,CHEMBL1082440,Cc1cncc2cccc(S(=O)(=O)N3CCCNCC3C)c12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca88d0>,MolSentence with 44 words,"(300,) dimensional vector"
83,CHEMBL1084546,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8930>,MolSentence with 70 words,"(300,) dimensional vector"
84,CHEMBL1090356,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8990>,MolSentence with 86 words,"(300,) dimensional vector"
85,CHEMBL1094408,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca89f0>,MolSentence with 66 words,"(300,) dimensional vector"
86,CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)[nH]n1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8a50>,MolSentence with 44 words,"(300,) dimensional vector"
87,CHEMBL116070,NC(=O)c1cc2c(Oc3ccc(Br)cc3)cncc2s1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8ab0>,MolSentence with 40 words,"(300,) dimensional vector"
88,CHEMBL1164265,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8b10>,MolSentence with 66 words,"(300,) dimensional vector"
89,CHEMBL117697,COc1cccc(Nc2ncnc3ccccc23)c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8b70>,MolSentence with 38 words,"(300,) dimensional vector"
90,CHEMBL1190711,COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8bd0>,MolSentence with 58 words,"(300,) dimensional vector"
91,CHEMBL1230122,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8c30>,MolSentence with 56 words,"(300,) dimensional vector"
92,CHEMBL1230607,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8c90>,MolSentence with 52 words,"(300,) dimensional vector"
93,CHEMBL1236126,CC(C)(C)C(=O)Oc1ccc2c(c1)nc(NC(=O)c1cccc([N+](=O)[O-])c1)n2CCCO,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8cf0>,MolSentence with 64 words,"(300,) dimensional vector"
94,CHEMBL1241473,COc1cc(Nc2ncc([N+](=O)[O-])c(Nc3ccccc3C(N)=O)n2)cc(OC)c1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8d50>,MolSentence with 64 words,"(300,) dimensional vector"
95,CHEMBL1242373,Cc1cccc(NC(=O)Nc2ccc3c(c2)CCc2sc4ncnc(N)c4c2-3)c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8db0>,MolSentence with 58 words,"(300,) dimensional vector"
96,CHEMBL1258913,O=C(Nc1n[nH]c2cc(C(=O)NC(CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8e10>,MolSentence with 78 words,"(300,) dimensional vector"
97,CHEMBL1270230,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8e70>,MolSentence with 42 words,"(300,) dimensional vector"
98,CHEMBL1375418,Cc1ccc(CNc2ccc3nnc(-c4ccccc4)n3n2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8ed0>,MolSentence with 48 words,"(300,) dimensional vector"
99,CHEMBL1375640,Cc1nc(COc2ccccc2Cl)sc1-c1ccnc(N)n1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8f30>,MolSentence with 44 words,"(300,) dimensional vector"
100,CHEMBL1516890,Cn1cc(C=C2C(=O)Nc3cccnc32)c2ccccc21,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca8f90>,MolSentence with 42 words,"(300,) dimensional vector"
101,CHEMBL1614705,O=C(CO)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3F)c2-c2ccncn2)CC1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac030>,MolSentence with 58 words,"(300,) dimensional vector"
102,CHEMBL1624529,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac090>,MolSentence with 60 words,"(300,) dimensional vector"
103,CHEMBL1682341,c1ccc(Cc2cn(-c3ccc4[nH]ncc4c3)nn2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac0f0>,MolSentence with 42 words,"(300,) dimensional vector"
104,CHEMBL1682346,Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac150>,MolSentence with 44 words,"(300,) dimensional vector"
105,CHEMBL1682358,Nc1n[nH]c2ccc(-c3cc(Cc4ccccc4)no3)cc12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac1b0>,MolSentence with 44 words,"(300,) dimensional vector"
106,CHEMBL1682540,c1cnc2nc(-c3ccc4[nH]ncc4c3)cn2c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac210>,MolSentence with 36 words,"(300,) dimensional vector"
107,CHEMBL1682545,c1ccc(Nc2nc(-c3ccc4[nH]ncc4c3)cs2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac270>,MolSentence with 42 words,"(300,) dimensional vector"
108,CHEMBL1682546,c1ccc(CNc2nc(-c3ccc4[nH]ncc4c3)cs2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac2d0>,MolSentence with 44 words,"(300,) dimensional vector"
109,CHEMBL1682552,c1cnc2nc(-c3ccc4[nH]ncc4c3)c(NC3CCCCC3)n2c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac330>,MolSentence with 50 words,"(300,) dimensional vector"
110,CHEMBL1682553,CC(C)Nc1c(-c2ccc3[nH]ncc3c2)nc2ncccn12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac390>,MolSentence with 44 words,"(300,) dimensional vector"
111,CHEMBL1682554,CCCCNc1c(-c2ccc3[nH]ncc3c2)nc2ncccn12,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac3f0>,MolSentence with 46 words,"(300,) dimensional vector"
112,CHEMBL1682558,Fc1ccc(-c2ncn(CCN3CCOCC3)c2-c2ccc3[nH]ncc3c2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac450>,MolSentence with 58 words,"(300,) dimensional vector"
113,CHEMBL17370,CSc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac4b0>,MolSentence with 52 words,"(300,) dimensional vector"
114,CHEMBL1738758,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884cac510>,MolSentence with 76 words,"(300,) dimensional vector"
